iter	Passed	Remaining
0	8	8300
1	13	6965
2	19	6614
3	27	6963
4	33	6623
5	40	6682
6	45	6458
7	50	6278
8	57	6276
9	62	6155
10	67	6068
11	73	6085
12	79	6004
13	84	5971
14	92	6059
15	98	6086
16	106	6139
17	111	6068
18	116	6017
19	121	5963
20	126	5912
21	131	5864
22	140	5960
23	145	5923
24	151	5913
25	157	5917
26	165	5980
27	177	6145
28	185	6217
29	193	6247
30	200	6253
31	209	6337
32	216	6336
33	222	6317
34	228	6303
35	236	6344
36	243	6331
37	250	6337
38	257	6336
39	264	6347
40	270	6332
41	275	6289
42	281	6264
43	287	6237
44	292	6200
45	297	6179
46	303	6149
47	308	6122
48	316	6141
49	323	6146
50	328	6117
51	337	6145
52	342	6115
53	348	6097
54	352	6064
55	358	6037
56	363	6011
57	368	5984
58	373	5956
59	378	5934
60	384	5923
61	389	5899
62	395	5878
63	400	5851
64	405	5830
65	410	5815
66	418	5830
67	424	5814
68	431	5816
69	436	5795
70	441	5774
71	446	5750
72	451	5727
73	456	5709
74	461	5690
75	466	5667
76	471	5650
77	477	5642
78	482	5619
79	486	5599
80	492	5591
81	500	5602
82	505	5586
83	514	5605
84	519	5593
85	525	5584
86	532	5587
87	536	5565
88	544	5570
89	549	5556
90	554	5537
91	563	5560
92	568	5543
93	574	5533
94	580	5531
95	585	5515
96	592	5516
97	597	5503
98	603	5488
99	609	5486
100	614	5472
101	620	5458
102	627	5465
103	633	5458
104	640	5457
105	645	5447
106	650	5432
107	657	5429
108	662	5416
109	667	5400
110	673	5395
111	678	5380
112	683	5364
113	689	5357
114	694	5345
115	699	5330
116	706	5328
117	711	5316
118	716	5303
119	726	5325
120	731	5312
121	737	5305
122	742	5294
123	747	5280
124	753	5273
125	758	5263
126	763	5250
127	769	5243
128	775	5234
129	780	5222
130	786	5219
131	791	5207
132	796	5194
133	803	5191
134	808	5180
135	813	5167
136	820	5165
137	825	5153
138	830	5141
139	836	5140
140	842	5133
141	847	5121
142	854	5118
143	859	5108
144	864	5096
145	870	5094
146	876	5083
147	881	5075
148	887	5069
149	892	5058
150	898	5050
151	903	5042
152	909	5033
153	914	5025
154	920	5018
155	925	5007
156	931	5000
157	938	5000
158	943	4990
159	950	4987
160	955	4977
161	959	4965
162	967	4969
163	974	4969
164	984	4979
165	991	4979
166	998	4978
167	1003	4969
168	1008	4957
169	1015	4956
170	1020	4945
171	1025	4936
172	1032	4935
173	1037	4924
174	1042	4915
175	1049	4915
176	1055	4908
177	1061	4903
178	1067	4894
179	1072	4884
180	1077	4877
181	1083	4868
182	1088	4857
183	1093	4851
184	1099	4843
185	1104	4833
186	1111	4833
187	1117	4828
188	1123	4819
189	1130	4821
190	1136	4811
191	1141	4805
192	1149	4804
193	1154	4795
194	1160	4790
195	1165	4781
196	1170	4772
197	1177	4771
198	1182	4761
199	1187	4751
200	1194	4748
201	1199	4739
202	1204	4730
203	1211	4727
204	1216	4718
205	1221	4709
206	1227	4702
207	1232	4694
208	1238	4686
209	1244	4683
210	1250	4674
211	1255	4666
212	1261	4661
213	1266	4653
214	1272	4646
215	1278	4639
216	1283	4630
217	1289	4624
218	1294	4616
219	1299	4607
220	1306	4604
221	1311	4597
222	1316	4588
223	1323	4584
224	1328	4575
225	1333	4567
226	1340	4563
227	1345	4556
228	1350	4548
229	1358	4547
230	1363	4540
231	1370	4535
232	1375	4528
233	1380	4520
234	1386	4513
235	1391	4505
236	1396	4497
237	1403	4492
238	1408	4485
239	1413	4476
240	1419	4471
241	1424	4462
242	1429	4454
243	1435	4448
244	1441	4440
245	1445	4431
246	1451	4426
247	1458	4423
248	1463	4415
249	1470	4412
250	1476	4404
251	1481	4397
252	1487	4391
253	1492	4383
254	1497	4375
255	1503	4370
256	1509	4362
257	1514	4355
258	1520	4350
259	1526	4343
260	1532	4339
261	1538	4332
262	1543	4324
263	1553	4329
264	1559	4324
