,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
0,8,18,0.0,1,2,0.1111111111111111,0.4,0.6,0.029411764705882353,1.0,0.0,0.7777777777777778
1,2,28,0.0,0,0,0.1111111111111111,0.5166666666666667,0.6,0.14705882352941177,0.0,0.0,0.5151515151515151
2,7,4,0.0,1,0,0.1111111111111111,0.5166666666666667,0.2,0.11764705882352941,0.0,0.0,0.47474747474747475
3,5,11,0.0,0,0,0.3333333333333333,0.5166666666666667,0.4,0.2647058823529412,0.0,0.0,0.6565656565656566
4,1,21,0.0,1,2,0.1111111111111111,0.5,0.8,0.20588235294117646,0.0,0.0,0.6161616161616161
5,5,31,0.0,1,2,0.1111111111111111,0.6,0.6,0.058823529411764705,0.0,0.0,0.6868686868686869
6,1,11,0.0,1,0,0.1111111111111111,0.55,1.0,0.08823529411764706,1.0,0.0,0.5757575757575758
7,0,14,0.0,1,2,0.2222222222222222,0.6,0.6,0.08823529411764706,0.0,0.0,0.8585858585858586
8,8,31,1.0,1,0,0.1111111111111111,0.85,0.8,0.3235294117647059,0.0,0.0,0.7575757575757576
9,8,14,0.0,1,2,0.1111111111111111,0.48333333333333334,1.0,0.058823529411764705,1.0,0.0,0.7676767676767676
10,7,7,0.0,1,2,0.2222222222222222,0.6666666666666666,1.0,0.35294117647058826,1.0,0.0,0.5050505050505051
11,7,8,1.0,1,2,0.1111111111111111,0.6666666666666666,0.6,0.29411764705882354,0.0,0.0,0.46464646464646464
12,7,28,1.0,0,0,0.1111111111111111,0.5666666666666667,0.6,0.11764705882352941,0.0,0.0,0.5252525252525253
13,0,16,0.0,1,0,0.1111111111111111,0.6166666666666667,0.6,0.29411764705882354,0.0,0.0,0.8282828282828283
14,4,2,0.0,1,2,0.1111111111111111,0.5,1.0,0.17647058823529413,1.0,0.0,0.5858585858585859
15,7,31,0.0,1,2,0.1111111111111111,0.5166666666666667,0.8,0.11764705882352941,1.0,0.0,0.47474747474747475
16,4,19,0.0,0,2,0.1111111111111111,0.43333333333333335,1.0,0.08823529411764706,0.0,0.0,0.5656565656565656
17,7,8,0.0,1,2,0.1111111111111111,0.6666666666666666,1.0,0.17647058823529413,1.0,0.0,0.5050505050505051
18,5,31,0.0,0,0,0.1111111111111111,0.8166666666666667,0.6,0.20588235294117646,1.0,0.0,0.6464646464646465
19,5,19,0.0,1,0,0.1111111111111111,0.45,0.4,0.14705882352941177,0.0,0.0,0.6565656565656566
20,7,33,1.0,1,2,0.1111111111111111,0.6166666666666667,1.0,0.08823529411764706,0.0,0.0,0.47474747474747475
21,8,8,0.0,1,2,0.1111111111111111,0.4166666666666667,0.6,0.029411764705882353,0.0,0.0,0.8080808080808081
22,8,21,1.0,1,2,0.1111111111111111,0.5,0.2,0.08823529411764706,0.0,0.0,0.8383838383838383
23,5,28,1.0,1,0,0.1111111111111111,0.6833333333333333,0.6,0.11764705882352941,0.0,0.0,0.7676767676767676
24,1,12,0.0,0,0,0.1111111111111111,0.48333333333333334,0.8,0.17647058823529413,1.0,0.0,0.5858585858585859
25,4,12,0.0,1,0,0.1111111111111111,0.55,0.6,0.20588235294117646,1.0,1.0,0.6262626262626263
26,7,8,1.0,1,2,0.1111111111111111,0.5666666666666667,0.8,0.17647058823529413,1.0,0.0,0.5050505050505051
27,0,4,0.0,1,2,0.1111111111111111,0.5666666666666667,0.6,0.08823529411764706,1.0,0.0,0.8787878787878788
28,4,14,0.0,1,0,0.1111111111111111,0.8666666666666667,0.2,0.29411764705882354,0.0,0.0,0.6161616161616161
29,7,27,0.0,1,2,0.1111111111111111,0.5,0.4,0.08823529411764706,0.0,0.0,0.5050505050505051
30,0,11,1.0,1,2,0.2222222222222222,0.5666666666666667,0.8,0.20588235294117646,0.0,0.0,0.8787878787878788
31,7,11,0.0,1,2,0.2222222222222222,0.7166666666666667,0.2,0.4117647058823529,0.0,0.0,0.5252525252525253
32,8,8,0.0,1,0,0.1111111111111111,0.48333333333333334,0.6,0.029411764705882353,1.0,0.0,0.8585858585858586
33,7,11,0.0,0,2,0.1111111111111111,0.5833333333333334,0.6,0.08823529411764706,1.0,0.0,0.5252525252525253
34,8,14,1.0,1,0,0.4444444444444444,0.6666666666666666,0.6,0.35294117647058826,0.0,0.0,0.7777777777777778
35,8,15,0.0,1,2,0.2222222222222222,0.55,0.8,0.2647058823529412,0.0,0.0,0.8383838383838383
36,7,32,1.0,1,0,0.1111111111111111,0.5,0.6,0.058823529411764705,1.0,0.0,0.5555555555555556
37,7,5,0.0,0,2,0.2222222222222222,0.7,0.2,0.08823529411764706,1.0,0.0,0.46464646464646464
38,7,14,0.0,1,2,0.3333333333333333,0.48333333333333334,0.2,0.08823529411764706,0.0,0.0,0.5151515151515151
39,0,14,0.0,1,0,0.1111111111111111,0.4166666666666667,0.6,0.029411764705882353,0.0,0.0,0.8888888888888888
40,0,18,0.0,1,2,0.1111111111111111,0.43333333333333335,1.0,0.11764705882352941,1.0,0.0,0.9090909090909091
41,7,24,0.0,1,0,0.1111111111111111,0.45,0.4,0.08823529411764706,0.0,0.0,0.5252525252525253
42,4,4,0.0,1,0,0.1111111111111111,0.5666666666666667,1.0,0.14705882352941177,1.0,0.0,0.6666666666666666
43,7,24,0.0,1,2,0.1111111111111111,0.43333333333333335,0.8,0.14705882352941177,0.0,0.0,0.45454545454545453
44,8,11,0.0,0,0,0.1111111111111111,0.8666666666666667,1.0,0.5294117647058824,0.0,0.0,0.8080808080808081
45,7,31,0.0,1,0,0.1111111111111111,0.43333333333333335,1.0,0.058823529411764705,1.0,0.0,0.5454545454545454
46,0,27,0.0,1,2,0.3333333333333333,0.45,0.6,0.058823529411764705,0.0,0.0,0.8383838383838383
47,0,14,1.0,1,0,0.1111111111111111,0.5166666666666667,0.6,0.029411764705882353,1.0,0.0,0.8484848484848485
48,4,15,0.0,1,0,0.1111111111111111,0.55,0.8,0.23529411764705882,1.0,0.0,0.5959595959595959
49,7,11,0.0,1,2,0.1111111111111111,0.6,1.0,0.11764705882352941,1.0,0.0,0.494949494949495
50,8,11,1.0,0,0,0.1111111111111111,0.95,0.2,0.7647058823529411,0.0,0.0,0.7676767676767676
51,7,11,0.0,1,0,0.2222222222222222,0.7666666666666667,0.2,0.20588235294117646,0.0,0.0,0.494949494949495
52,7,10,0.0,1,2,0.1111111111111111,0.5,0.4,0.08823529411764706,0.0,0.0,0.5050505050505051
53,4,11,0.5,1,0,0.1111111111111111,0.35,0.6,0.029411764705882353,1.0,0.0,0.5656565656565656
