,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
0,8,18,0.0,1,2,0.0,0.10000000000000009,0.5,0.0,1.0,0.0,0.6333333333333332
1,2,28,0.0,0,0,0.0,0.275,0.5,0.12121212121212122,0.0,0.0,0.19999999999999996
2,7,4,0.0,1,0,0.0,0.275,0.0,0.09090909090909091,0.0,0.0,0.1333333333333333
3,5,11,0.0,0,0,0.25,0.275,0.25,0.2424242424242424,0.0,0.0,0.43333333333333324
4,1,21,0.0,1,2,0.0,0.25,0.75,0.18181818181818182,0.0,0.0,0.3666666666666666
5,5,31,0.0,1,2,0.0,0.4,0.5,0.030303030303030304,0.0,0.0,0.4833333333333333
6,1,11,0.0,1,0,0.0,0.32500000000000007,1.0,0.06060606060606061,1.0,0.0,0.29999999999999993
7,0,14,0.0,1,2,0.125,0.4,0.5,0.06060606060606061,0.0,0.0,0.7666666666666667
8,8,31,1.0,1,0,0.0,0.7750000000000001,0.75,0.3030303030303031,0.0,0.0,0.6
9,8,14,0.0,1,2,0.0,0.2250000000000001,1.0,0.030303030303030304,1.0,0.0,0.6166666666666666
10,7,7,0.0,1,2,0.125,0.5,1.0,0.33333333333333337,1.0,0.0,0.18333333333333335
11,7,8,1.0,1,2,0.0,0.5,0.5,0.2727272727272727,0.0,0.0,0.11666666666666659
12,7,28,1.0,0,0,0.0,0.3500000000000001,0.5,0.09090909090909091,0.0,0.0,0.21666666666666667
13,0,16,0.0,1,0,0.0,0.42500000000000004,0.5,0.2727272727272727,0.0,0.0,0.7166666666666667
14,4,2,0.0,1,2,0.0,0.25,1.0,0.15151515151515152,1.0,0.0,0.31666666666666665
15,7,31,0.0,1,2,0.0,0.275,0.75,0.09090909090909091,1.0,0.0,0.1333333333333333
16,4,19,0.0,0,2,0.0,0.15000000000000002,1.0,0.06060606060606061,0.0,0.0,0.2833333333333333
17,7,8,0.0,1,2,0.0,0.5,1.0,0.15151515151515152,1.0,0.0,0.18333333333333335
18,5,31,0.0,0,0,0.0,0.7250000000000001,0.5,0.18181818181818182,1.0,0.0,0.41666666666666663
19,5,19,0.0,1,0,0.0,0.17500000000000004,0.25,0.12121212121212122,0.0,0.0,0.43333333333333324
20,7,33,1.0,1,2,0.0,0.42500000000000004,1.0,0.06060606060606061,0.0,0.0,0.1333333333333333
21,8,8,0.0,1,2,0.0,0.125,0.5,0.0,0.0,0.0,0.6833333333333332
22,8,21,1.0,1,2,0.0,0.25,0.0,0.06060606060606061,0.0,0.0,0.7333333333333333
23,5,28,1.0,1,0,0.0,0.5250000000000001,0.5,0.09090909090909091,0.0,0.0,0.6166666666666666
24,1,12,0.0,0,0,0.0,0.2250000000000001,0.75,0.15151515151515152,1.0,0.0,0.31666666666666665
25,4,12,0.0,1,0,0.0,0.32500000000000007,0.5,0.18181818181818182,1.0,1.0,0.3833333333333332
26,7,8,1.0,1,2,0.0,0.3500000000000001,0.75,0.15151515151515152,1.0,0.0,0.18333333333333335
27,0,4,0.0,1,2,0.0,0.3500000000000001,0.5,0.06060606060606061,1.0,0.0,0.7999999999999999
28,4,14,0.0,1,0,0.0,0.8,0.0,0.2727272727272727,0.0,0.0,0.3666666666666666
29,7,27,0.0,1,2,0.0,0.25,0.25,0.06060606060606061,0.0,0.0,0.18333333333333335
30,0,11,1.0,1,2,0.125,0.3500000000000001,0.75,0.18181818181818182,0.0,0.0,0.7999999999999999
31,7,11,0.0,1,2,0.125,0.575,0.0,0.3939393939393939,0.0,0.0,0.21666666666666667
32,8,8,0.0,1,0,0.0,0.2250000000000001,0.5,0.0,1.0,0.0,0.7666666666666667
33,7,11,0.0,0,2,0.0,0.375,0.5,0.06060606060606061,1.0,0.0,0.21666666666666667
34,8,14,1.0,1,0,0.375,0.5,0.5,0.33333333333333337,0.0,0.0,0.6333333333333332
35,8,15,0.0,1,2,0.125,0.32500000000000007,0.75,0.2424242424242424,0.0,0.0,0.7333333333333333
36,7,32,1.0,1,0,0.0,0.25,0.5,0.030303030303030304,1.0,0.0,0.2666666666666666
37,7,5,0.0,0,2,0.125,0.55,0.0,0.06060606060606061,1.0,0.0,0.11666666666666659
38,7,14,0.0,1,2,0.25,0.2250000000000001,0.0,0.06060606060606061,0.0,0.0,0.19999999999999996
39,0,14,0.0,1,0,0.0,0.125,0.5,0.0,0.0,0.0,0.8166666666666665
40,0,18,0.0,1,2,0.0,0.15000000000000002,1.0,0.09090909090909091,1.0,0.0,0.85
41,7,24,0.0,1,0,0.0,0.17500000000000004,0.25,0.06060606060606061,0.0,0.0,0.21666666666666667
42,4,4,0.0,1,0,0.0,0.3500000000000001,1.0,0.12121212121212122,1.0,0.0,0.45000000000000007
43,7,24,0.0,1,2,0.0,0.15000000000000002,0.75,0.12121212121212122,0.0,0.0,0.09999999999999998
44,8,11,0.0,0,0,0.0,0.8,1.0,0.5151515151515151,0.0,0.0,0.6833333333333332
45,7,31,0.0,1,0,0.0,0.15000000000000002,1.0,0.030303030303030304,1.0,0.0,0.25
46,0,27,0.0,1,2,0.25,0.17500000000000004,0.5,0.030303030303030304,0.0,0.0,0.7333333333333333
47,0,14,1.0,1,0,0.0,0.275,0.5,0.0,1.0,0.0,0.7499999999999999
48,4,15,0.0,1,0,0.0,0.32500000000000007,0.75,0.21212121212121213,1.0,0.0,0.33333333333333326
49,7,11,0.0,1,2,0.0,0.4,1.0,0.09090909090909091,1.0,0.0,0.16666666666666663
50,8,11,1.0,0,0,0.0,0.925,0.0,0.7575757575757576,0.0,0.0,0.6166666666666666
51,7,11,0.0,1,0,0.125,0.6500000000000001,0.0,0.18181818181818182,0.0,0.0,0.16666666666666663
52,7,10,0.0,1,2,0.0,0.25,0.25,0.06060606060606061,0.0,0.0,0.18333333333333335
53,4,11,0.5,1,0,0.0,0.025000000000000022,0.5,0.0,1.0,0.0,0.2833333333333333
54,8,28,0.0,1,2,0.0,0.15000000000000002,0.5,0.0,1.0,0.0,0.7666666666666667
55,8,31,1.0,1,2,0.125,0.5,0.5,0.15151515151515152,0.0,0.0,0.7000000000000001
56,8,15,0.0,1,0,0.125,0.30000000000000004,0.5,0.15151515151515152,0.0,0.0,0.6666666666666666
57,1,14,1.0,0,2,0.0,0.4,0.5,0.030303030303030304,1.0,0.0,0.3666666666666666
58,3,11,0.0,1,0,0.0,0.20000000000000007,0.25,0.030303030303030304,0.0,0.0,0.3833333333333332
59,4,14,0.0,0,2,0.0,0.2250000000000001,1.0,0.09090909090909091,1.0,0.0,0.2833333333333333
60,7,11,1.0,1,2,0.0,0.45000000000000007,0.75,0.09090909090909091,0.0,0.0,0.16666666666666663
61,8,28,0.0,1,0,0.0,0.275,0.25,0.09090909090909091,1.0,0.0,0.65
62,7,14,0.0,1,0,0.0,0.2250000000000001,0.0,0.09090909090909091,0.0,0.0,0.11666666666666659
63,8,29,0.5,1,0,0.0,0.07500000000000007,0.5,0.0,0.0,0.0,0.7000000000000001
64,4,18,0.0,1,2,0.0,0.5250000000000001,0.75,0.15151515151515152,1.0,0.0,0.35
65,5,11,0.0,1,0,0.0,0.2250000000000001,1.0,0.030303030303030304,1.0,0.0,0.5833333333333334
66,7,20,0.0,0,0,0.0,0.2250000000000001,0.25,0.12121212121212122,0.0,0.0,0.19999999999999996
67,4,11,0.0,1,2,0.0,0.20000000000000007,0.5,0.06060606060606061,0.0,0.0,0.33333333333333326
68,0,21,0.0,1,0,0.125,0.20000000000000007,1.0,0.09090909090909091,1.0,0.0,0.7499999999999999
69,5,14,0.0,0,2,0.0,0.275,0.0,0.15151515151515152,0.0,0.0,0.41666666666666663
70,8,28,1.0,1,2,0.0,0.4,0.5,0.09090909090909091,0.0,0.0,0.6166666666666666
71,4,11,0.0,1,0,0.25,0.15000000000000002,0.5,0.09090909090909091,1.0,0.0,0.29999999999999993
72,8,6,0.0,1,0,0.0,0.2250000000000001,0.5,0.030303030303030304,0.0,0.0,0.7499999999999999
73,0,31,0.0,1,2,0.0,0.30000000000000004,0.75,0.15151515151515152,0.0,0.0,0.7666666666666667
74,7,11,0.0,0,0,0.0,0.5,0.0,0.2727272727272727,0.0,0.0,0.18333333333333335
75,0,14,0.0,1,2,0.125,0.45000000000000007,0.75,0.36363636363636365,0.0,0.0,0.7999999999999999
76,0,28,0.0,1,0,0.0,0.55,1.0,0.3030303030303031,1.0,0.0,0.6833333333333332
77,5,21,1.0,0,0,0.0,0.32500000000000007,0.5,0.15151515151515152,0.0,0.0,0.4833333333333333
78,0,11,0.0,1,0,0.0,0.275,1.0,0.12121212121212122,1.0,0.0,0.8833333333333332
79,4,22,1.0,0,2,0.0,0.375,0.5,0.09090909090909091,0.0,0.0,0.31666666666666665
80,2,11,1.0,0,2,0.0,0.9500000000000002,1.0,0.15151515151515152,1.0,0.0,0.19999999999999996
81,7,20,0.0,0,2,0.0,0.15000000000000002,0.25,0.09090909090909091,0.0,0.0,0.15000000000000002
82,2,21,0.0,0,2,0.0,0.32500000000000007,0.5,0.21212121212121213,1.0,0.0,0.16666666666666663
83,8,31,0.0,1,2,0.0,0.25,0.5,0.06060606060606061,1.0,0.0,0.6833333333333332
84,8,4,1.0,0,2,0.0,0.575,0.5,0.33333333333333337,0.0,0.0,0.6666666666666666
85,2,8,0.0,0,2,0.0,0.275,0.75,0.18181818181818182,0.0,0.0,0.15000000000000002
86,0,21,0.0,1,2,0.0,0.30000000000000004,0.5,0.12121212121212122,1.0,0.0,0.7833333333333333
87,8,11,1.0,0,2,0.125,0.925,0.25,0.18181818181818182,0.0,0.0,0.7333333333333333
88,4,11,0.0,0,0,0.0,0.8500000000000001,0.75,0.6363636363636365,0.0,0.0,0.29999999999999993
89,0,6,0.0,1,0,0.125,0.42500000000000004,1.0,0.21212121212121213,1.0,0.0,0.7166666666666667
90,6,14,1.0,1,0,0.125,0.17500000000000004,0.75,0.12121212121212122,0.0,0.0,0.7833333333333333
91,4,14,1.0,1,2,0.0,0.6000000000000001,0.5,0.2727272727272727,0.0,0.0,0.2666666666666666
92,8,16,1.0,0,0,0.0,0.42500000000000004,0.5,0.2727272727272727,0.0,0.0,0.7000000000000001
93,5,31,1.0,1,0,0.0,0.7000000000000002,0.75,0.21212121212121213,0.0,0.0,0.5499999999999999
94,7,17,0.0,0,0,0.0,0.275,0.5,0.15151515151515152,1.0,0.0,0.06666666666666665
95,1,14,0.0,0,0,0.0,0.20000000000000007,1.0,0.12121212121212122,1.0,0.0,0.35
96,5,4,1.0,0,0,0.0,0.3500000000000001,0.5,0.09090909090909091,0.0,0.0,0.4999999999999999
97,7,5,0.0,0,2,0.0,0.6000000000000001,0.0,0.09090909090909091,0.0,0.0,0.1333333333333333
98,7,3,0.0,1,2,0.0,0.17500000000000004,1.0,0.030303030303030304,0.0,0.0,0.18333333333333335
99,4,14,1.0,1,1,0.0,0.625,0.5,0.09090909090909091,1.0,0.0,0.29999999999999993
100,7,4,0.0,1,2,0.0,0.10000000000000009,0.75,0.030303030303030304,0.0,0.0,0.15000000000000002
101,0,21,0.0,1,0,0.0,0.42500000000000004,1.0,0.09090909090909091,0.0,0.0,0.7166666666666667
102,0,14,1.0,1,0,0.0,0.17500000000000004,0.5,0.0,1.0,0.0,0.7833333333333333
103,3,14,0.0,1,0,0.0,0.32500000000000007,0.5,0.0,1.0,0.0,0.33333333333333326
104,7,11,1.0,0,0,0.0,0.275,0.0,0.030303030303030304,1.0,0.0,0.23333333333333328
105,7,31,1.0,1,2,0.25,0.45000000000000007,0.5,0.12121212121212122,0.0,0.0,0.16666666666666663
106,5,14,0.0,1,0,0.0,0.30000000000000004,1.0,0.030303030303030304,1.0,0.0,0.5499999999999999
107,0,10,0.0,1,0,0.0,0.2250000000000001,0.5,0.09090909090909091,0.0,0.0,0.7499999999999999
108,7,6,0.0,1,0,0.0,0.42500000000000004,0.75,0.2424242424242424,0.0,0.0,0.18333333333333335
109,4,4,0.0,1,0,0.125,0.55,0.5,0.33333333333333337,0.0,0.0,0.35
110,6,14,1.0,1,2,0.125,0.30000000000000004,1.0,0.12121212121212122,1.0,0.0,0.8166666666666665
111,4,4,0.0,1,0,0.0,0.625,0.5,0.06060606060606061,0.0,0.0,0.35
112,0,21,0.0,1,0,0.0,0.20000000000000007,0.5,0.18181818181818182,0.0,0.0,0.7333333333333333
113,8,6,1.0,1,2,0.0,0.375,0.0,0.2424242424242424,0.0,0.0,0.7000000000000001
114,7,28,0.0,1,0,0.25,0.20000000000000007,0.5,0.12121212121212122,0.0,0.0,0.15000000000000002
115,4,32,0.0,0,0,0.0,0.42500000000000004,0.0,0.06060606060606061,1.0,0.0,0.33333333333333326
116,0,28,1.0,1,0,0.0,0.45000000000000007,0.75,0.18181818181818182,1.0,0.0,0.8166666666666665
117,5,11,0.0,0,2,0.0,0.275,0.0,0.15151515151515152,0.0,0.0,0.4833333333333333
118,4,11,1.0,1,0,0.125,0.575,0.5,0.030303030303030304,0.0,0.0,0.4999999999999999
119,4,15,0.0,1,0,0.0,0.30000000000000004,0.5,0.030303030303030304,1.0,0.0,0.3833333333333332
120,5,11,0.5,1,2,0.0,0.10000000000000009,0.75,0.030303030303030304,1.0,0.0,0.4999999999999999
121,4,11,1.0,1,0,0.0,0.8,1.0,0.21212121212121213,0.0,0.0,0.33333333333333326
122,8,4,1.0,1,0,0.0,0.45000000000000007,1.0,0.030303030303030304,0.0,0.0,0.8166666666666665
123,1,12,0.0,1,0,0.0,0.375,0.5,0.09090909090909091,0.0,0.0,0.33333333333333326
124,8,24,1.0,1,0,0.0,0.4750000000000001,1.0,0.09090909090909091,0.0,1.0,0.7000000000000001
125,5,31,0.0,1,0,0.0,0.275,0.5,0.12121212121212122,1.0,0.0,0.43333333333333324
126,4,19,0.0,1,2,0.0,0.42500000000000004,0.5,0.12121212121212122,0.0,0.0,0.29999999999999993
127,0,13,0.0,1,2,0.0,0.17500000000000004,0.5,0.0,0.0,0.0,0.6833333333333332
128,4,23,1.0,0,0,0.0,0.42500000000000004,1.0,0.2424242424242424,1.0,0.0,0.2833333333333333
129,0,7,0.0,1,0,0.125,0.275,0.5,0.12121212121212122,1.0,0.0,0.7000000000000001
130,0,14,0.0,1,2,0.0,0.20000000000000007,1.0,0.09090909090909091,1.0,0.0,0.7666666666666667
131,8,6,0.0,1,0,0.0,0.15000000000000002,0.5,0.06060606060606061,0.0,0.0,0.6333333333333332
132,1,11,1.0,1,0,0.0,0.7250000000000001,0.75,0.18181818181818182,1.0,0.0,0.3833333333333332
133,5,4,0.0,0,0,0.0,0.3500000000000001,0.5,0.2424242424242424,0.0,0.0,0.4833333333333333
134,1,28,1.0,0,0,0.0,0.45000000000000007,0.5,0.030303030303030304,0.0,0.0,0.31666666666666665
135,7,4,1.0,1,0,0.0,0.8,0.75,0.09090909090909091,1.0,0.0,0.19999999999999996
136,7,14,0.0,1,2,0.25,0.275,0.0,0.18181818181818182,1.0,0.0,0.18333333333333335
137,8,11,0.0,0,0,0.0,0.10000000000000009,0.0,0.030303030303030304,0.0,0.0,0.7166666666666667
138,0,14,0.0,0,2,0.125,0.15000000000000002,1.0,0.06060606060606061,1.0,0.0,0.7833333333333333
139,2,31,0.0,1,0,0.0,0.275,0.25,0.12121212121212122,0.0,0.0,0.45000000000000007
140,8,18,0.0,0,0,0.0,0.575,0.0,0.09090909090909091,1.0,0.0,0.7833333333333333
