,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
0,8,18,0.0,1,2,0.0,-0.9,0.0,-1.0,1.0,0.0,0.68
1,2,28,0.0,0,0,0.0,-0.2,0.0,0.0,0.0,0.0,-0.36
2,7,4,0.0,1,0,0.0,-0.2,-2.0,-0.25,0.0,0.0,-0.52
3,5,11,0.0,0,0,2.0,-0.2,-1.0,1.0,0.0,0.0,0.2
4,1,21,0.0,1,2,0.0,-0.3,1.0,0.5,0.0,0.0,0.04
5,5,31,0.0,1,2,0.0,0.3,0.0,-0.75,0.0,0.0,0.32
6,1,11,0.0,1,0,0.0,0.0,2.0,-0.5,1.0,0.0,-0.12
7,0,14,0.0,1,2,1.0,0.3,0.0,-0.5,0.0,0.0,1.0
8,8,31,1.0,1,0,0.0,1.8,1.0,1.5,0.0,0.0,0.6
9,8,14,0.0,1,2,0.0,-0.4,2.0,-0.75,1.0,0.0,0.64
10,7,7,0.0,1,2,1.0,0.7,2.0,1.75,1.0,0.0,-0.4
11,7,8,1.0,1,2,0.0,0.7,0.0,1.25,0.0,0.0,-0.56
12,7,28,1.0,0,0,0.0,0.1,0.0,-0.25,0.0,0.0,-0.32
13,0,16,0.0,1,0,0.0,0.4,0.0,1.25,0.0,0.0,0.88
14,4,2,0.0,1,2,0.0,-0.3,2.0,0.25,1.0,0.0,-0.08
15,7,31,0.0,1,2,0.0,-0.2,1.0,-0.25,1.0,0.0,-0.52
16,4,19,0.0,0,2,0.0,-0.7,2.0,-0.5,0.0,0.0,-0.16
17,7,8,0.0,1,2,0.0,0.7,2.0,0.25,1.0,0.0,-0.4
18,5,31,0.0,0,0,0.0,1.6,0.0,0.5,1.0,0.0,0.16
19,5,19,0.0,1,0,0.0,-0.6,-1.0,0.0,0.0,0.0,0.2
20,7,33,1.0,1,2,0.0,0.4,2.0,-0.5,0.0,0.0,-0.52
21,8,8,0.0,1,2,0.0,-0.8,0.0,-1.0,0.0,0.0,0.8
22,8,21,1.0,1,2,0.0,-0.3,-2.0,-0.5,0.0,0.0,0.92
23,5,28,1.0,1,0,0.0,0.8,0.0,-0.25,0.0,0.0,0.64
24,1,12,0.0,0,0,0.0,-0.4,1.0,0.25,1.0,0.0,-0.08
25,4,12,0.0,1,0,0.0,0.0,0.0,0.5,1.0,1.0,0.08
