,Junction,Date,Hour,Vehicles,hour_of_the_day,day_of_the_week,month,PreviousHourVehicles,IsWeekend
0,1,2015-01-11,0,-0.3754887541021225,0,6,1,,True
1,1,2015-01-11,1,-0.47187500738560045,1,6,1,-0.3754887541021225,True
2,1,2015-01-11,2,-0.6164543873108174,2,6,1,-0.47187500738560045,True
3,1,2015-01-11,3,-0.7610337672360342,3,6,1,-0.6164543873108174,True
4,1,2015-01-11,4,-0.6646475139525563,4,6,1,-0.7610337672360342,True
5,1,2015-01-11,5,-0.8092268938777732,5,6,1,-0.6646475139525563,True
6,1,2015-01-11,6,-0.6646475139525563,6,6,1,-0.8092268938777732,True
7,1,2015-01-11,7,-0.7128406405942953,7,6,1,-0.6646475139525563,True
8,1,2015-01-11,8,-0.5682612606690783,8,6,1,-0.7128406405942953,True
9,1,2015-01-11,9,-0.5200681340273394,9,6,1,-0.5682612606690783,True
10,1,2015-01-11,10,-0.3754887541021225,10,6,1,-0.5200681340273394,True
11,1,2015-01-11,11,-0.27910250081864457,11,6,1,-0.3754887541021225,True
12,1,2015-01-11,12,-0.32729562746038354,12,6,1,-0.27910250081864457,True
13,1,2015-01-11,13,-0.3754887541021225,13,6,1,-0.32729562746038354,True
14,1,2015-01-11,14,-0.32729562746038354,14,6,1,-0.3754887541021225,True
15,1,2015-01-11,15,-0.5200681340273394,15,6,1,-0.32729562746038354,True
16,1,2015-01-11,16,-0.5200681340273394,16,6,1,-0.5200681340273394,True
17,1,2015-01-11,17,-0.32729562746038354,17,6,1,-0.5200681340273394,True
18,1,2015-01-11,18,-0.27910250081864457,18,6,1,-0.32729562746038354,True
19,1,2015-01-11,19,-0.1345231208934277,19,6,1,-0.27910250081864457,True
20,1,2015-01-11,20,-0.27910250081864457,20,6,1,-0.1345231208934277,True
21,1,2015-01-11,21,-0.18271624753516666,21,6,1,-0.27910250081864457,True
22,1,2015-01-11,22,-0.1345231208934277,22,6,1,-0.18271624753516666,True
23,1,2015-01-11,23,-0.3754887541021225,23,6,1,-0.1345231208934277,True
24,1,2015-01-12,0,-0.08632999425168872,0,2,2,-0.3754887541021225,False
25,1,2015-01-12,1,-0.1345231208934277,1,2,2,-0.08632999425168872,False
26,1,2015-01-12,2,-0.2309093741769056,2,2,2,-0.1345231208934277,False
27,1,2015-01-12,3,-0.47187500738560045,3,2,2,-0.2309093741769056,False
28,1,2015-01-12,4,-0.4236818807438615,4,2,2,-0.47187500738560045,False
