,date,time,humidity,weather,temperature
27013,2015-11-01,01:00:00,75.0,broken clouds,295.935187718
27014,2015-11-01,02:00:00,82.0,mist,293.86
27015,2015-11-01,03:00:00,87.0,overcast clouds,293.104524422
27016,2015-11-01,04:00:00,93.0,light rain,292.28
27017,2015-11-01,05:00:00,77.0,overcast clouds,291.65
27018,2015-11-01,06:00:00,77.0,overcast clouds,291.647891984
27019,2015-11-01,07:00:00,93.0,broken clouds,291.44
27020,2015-11-01,08:00:00,92.0,light rain,291.345483412
27021,2015-11-01,09:00:00,88.0,broken clouds,291.29
27022,2015-11-01,10:00:00,87.0,broken clouds,290.505672316
27023,2015-11-01,11:00:00,87.0,broken clouds,289.65
27024,2015-11-01,12:00:00,89.0,scattered clouds,289.232387812
27025,2015-11-01,13:00:00,93.0,sky is clear,288.79
27026,2015-11-01,14:00:00,92.0,light rain,289.760629128
27027,2015-11-01,15:00:00,77.0,scattered clouds,290.39
27028,2015-11-01,16:00:00,71.0,scattered clouds,292.360916754
27029,2015-11-01,17:00:00,64.0,scattered clouds,295.43
27030,2015-11-01,18:00:00,55.0,scattered clouds,295.713617092
27031,2015-11-01,19:00:00,40.0,sky is clear,296.28
27032,2015-11-01,20:00:00,35.0,sky is clear,298.04
27033,2015-11-01,21:00:00,34.0,sky is clear,298.044192695
27034,2015-11-01,22:00:00,54.0,light rain,296.891200957
27035,2015-11-01,23:00:00,31.0,sky is clear,299.03
27036,2015-11-02,00:00:00,42.0,sky is clear,297.059439148
27037,2015-11-02,01:00:00,56.0,sky is clear,294.74
27038,2015-11-02,02:00:00,62.0,sky is clear,291.732615207
27039,2015-11-02,03:00:00,77.0,sky is clear,290.3
27040,2015-11-02,04:00:00,79.0,sky is clear,289.39818361
27041,2015-11-02,05:00:00,82.0,sky is clear,288.45
27042,2015-11-02,06:00:00,87.0,sky is clear,286.71
27043,2015-11-02,07:00:00,93.0,sky is clear,286.29
27044,2015-11-02,08:00:00,92.0,sky is clear,286.22387534
27045,2015-11-02,09:00:00,96.0,sky is clear,285.935915569
27046,2015-11-02,10:00:00,100.0,sky is clear,285.58
27047,2015-11-02,11:00:00,92.0,sky is clear,283.695980583
27048,2015-11-02,12:00:00,100.0,sky is clear,285.15
27049,2015-11-02,13:00:00,100.0,sky is clear,284.4
27050,2015-11-02,14:00:00,99.0,sky is clear,284.499182564
27051,2015-11-02,15:00:00,83.0,sky is clear,288.03886795
27052,2015-11-02,16:00:00,68.0,sky is clear,291.63
27053,2015-11-02,17:00:00,65.0,sky is clear,294.635893587
27054,2015-11-02,18:00:00,38.0,sky is clear,296.58
27055,2015-11-02,19:00:00,31.0,sky is clear,300.03
27056,2015-11-02,20:00:00,31.0,sky is clear,300.027048774
27057,2015-11-02,21:00:00,28.0,sky is clear,301.14
27058,2015-11-02,22:00:00,28.0,sky is clear,301.144720914
27059,2015-11-02,23:00:00,28.0,sky is clear,301.15
27060,2015-11-03,00:00:00,40.0,sky is clear,298.547746093
